Dataset,Fuente,URL_Oficial,Tipo_Datos,Status_Acceso,Formato,Frecuencia_Actualización,Licencia,Fecha_Validación,Notas
"Boletines de Precios Mayoristas","MIDAGRI","https://www.gob.pe/minagri","Series de Precios","✅ Verificado","PDF/Documento","Mensual","Acceso Público","2026-05-15","Aves, hortalizas, frutas, arroz. Datos operativos principales."
"Reporte de Ingreso Mercado Mayorista","MIDAGRI","https://www.gob.pe/minagri","Series Temporales","✅ Verificado","PDF/Documento","Diaria","Acceso Público","2026-05-15","Volumen diario e ingreso promedio. Información primaria de mercado."
"Boletín Abastecimiento GMML","MIDAGRI","https://www.gob.pe/minagri","Volumen y Precios","✅ Verificado","PDF/Documento","Mensual","Acceso Público","2026-05-15","Hortalizas, frutas, raíces. Mercado mayorista de Lima."
"Manual BPA - Palta y Espárrago","SENASA","https://www.gob.pe/senasa","Normativo","✅ Verificado","PDF","Puntual","Acceso Público","2026-05-15","Estándares de calidad, buenas prácticas agrícolas."
"Establecimientos Habilitados","SENASA","https://www.gob.pe/senasa","Base de Datos","✅ Verificado","PDF/Tabla","Permanente","Acceso Público","2026-05-15","Establecimientos extranjeros autorizados por SENASA."
"Requisitos Fitosanitarios","SENASA","https://www.gob.pe/senasa","Regulaciones","✅ Verificado","PDF/Resoluciones","Continua","Acceso Público","2026-05-15","Requisitos de importación y exportación por producto."
"Plagas Cuarentenarias","SENASA","https://www.gob.pe/senasa","Compendio","✅ Verificado","PDF/Base Datos","Continua","Acceso Público","2026-05-15","Plagas bajo control oficial. Variables de riesgo sanitario."
"Pronósticos Meteorológicos","SENAMHI","https://www.senamhi.gob.pe/","Series de Clima","✅ Verificado","Múltiples formatos","Diaria","Acceso Público","2026-05-15","Temperatura, precipitación, humedad. Portal de servicios."
"Lluvia Acumulada Nacional","SENAMHI","https://www.senamhi.gob.pe/","Series Históricas","✅ Verificado","CSV/Tablas","Mensual","Acceso Público","2026-05-15","Datos de precipitación a nivel nacional. Consultas en línea."
"Reportes Hidrológicos","SENAMHI","https://www.senamhi.gob.pe/","Series Temporales","✅ Verificado","PDF/Datos","Periódica","Acceso Público","2026-05-15","Caudales, niveles de ríos. Contexto climático e hidrológico."
"Indicadores Meteorológicos","SENAMHI","https://www.senamhi.gob.pe/","Índices Climáticos","✅ Verificado","Múltiples","Variable","Acceso Público","2026-05-15","Temperatura, precipitación, humedad relativa. Features para modelos."
"Índice Precios Mayor (IPM)","INEI","https://www.inei.gob.pe/","Series de Índices","✅ Verificado","Descargable","Mensual","Acceso Público","2026-05-15","Precios mayoristas de bienes. Benchmark económico nacional."
"Índice Precios Consumidor (IPC)","INEI","https://www.inei.gob.pe/","Series de Índices","✅ Verificado","Descargable","Mensual","Acceso Público","2026-05-15","Precios de consumo final. Lima Metropolitana y Nacional."
"Producto Bruto Interno","INEI","https://www.inei.gob.pe/","Series Trimestrales","✅ Verificado","Descargable","Trimestral","Acceso Público","2026-05-15","PBI por sectores. Contexto macroeconómico del sector agroexportador."
"Encuestas de Producción","INEI","https://www.inei.gob.pe/","Encuestas","🔴 Requiere navegación","Múltiples","Periódica","Acceso Público","2026-05-15","Producción, área, rendimiento. Verificar disponibilidad por cultivo."
"Estadísticas Aduaneras","SUNAT","https://www.sunat.gob.pe/estadisticasestudios/","Exportaciones/Importaciones","✅ Verificado","Múltiples","Mensual/Anual","Acceso Público","2026-05-15","Flujos de exportación e importación. Dinámicas comerciales."
"Índices y Tasas SUNAT","SUNAT","https://www.sunat.gob.pe/indicestasas/","Índices Económicos","✅ Verificado","Descargable","Variable","Acceso Público","2026-05-15","UIT, IPM, tasas. Contexto fiscal y económico."
"Padrones SUNAT","SUNAT","https://www.sunat.gob.pe/padronesnotificaciones/","Registros","🔴 Acceso restringido","Bases de datos","Permanente","Acceso Restringido","2026-05-15","Agentes certificados. Requiere permisos específicos."
"Production Module","FAOSTAT","https://www.fao.org/faostat/","Series de Producción","✅ Verificado","CSV/Descargable","Anual","CC-BY-NC-ND","2026-05-15","1961-presente. 245+ países. Todos los cultivos. Benchmark internacional."
"Trade Module","FAOSTAT","https://www.fao.org/faostat/","Comercio Internacional","✅ Verificado","CSV/Descargable","Anual","CC-BY-NC-ND","2026-05-15","1961-presente. Valor y cantidad de exportaciones/importaciones."
"Prices Module","FAOSTAT","https://www.fao.org/faostat/","Precios Internacionales","✅ Verificado","CSV/Descargable","Anual","CC-BY-NC-ND","2026-05-15","Precios globales históricos por producto. Análisis de competitividad."
"Trade Statistics","UN Comtrade Plus","https://comtradeplus.un.org/","Estadísticas de Comercio","✅ Verificado","CSV/API/Excel","Anual/Mensual","Acceso Público","2026-05-15","Base de datos oficial ONU. Exportaciones por producto, país y año."
"Agricultural Data","World Bank","https://data.worldbank.org/","Indicadores Agrícolas","✅ Verificado","Descargable","Variable","Acceso Público","2026-05-15","Producción, comercio, indicadores de desarrollo agrícola."
"Trade Data","World Bank","https://data.worldbank.org/","Comercio","✅ Verificado","Descargable","Anual","Acceso Público","2026-05-15","Volúmenes y valores de comercio por país. Benchmark de exportaciones."
"Portal de Transparencia","Perú - PTE","https://www.transparencia.gob.pe/","Información Institucional","✅ Verificado","Múltiples","Permanente","Acceso Público","2026-05-15","Acceso a información pública de entidades estatales bajo Ley de Transparencia."
